batch_id,timing,did_terr_incl,did_terr_excl
551,regular,-0.43556068929800773,0.04250118622866239
554,strategic,3.164179323501351,5.463596572918604
555,regular,22.468606060606064,25.32768939393938
556,late,23.15696572696875,18.692806122448985
558,late,-9.50118973905353,-14.994172932330834
561,strategic,4.28855586679115,5.5734719405003545
564,strategic,-2.321494252873549,-6.154827586206885
567,strategic,4.7668025282060285,9.957714195192956
568,regular,15.654035951948863,17.53210108604845
573,late,-5.390234093637446,-10.040304928989137
574,regular,-9.527346661116027,-9.614370804436554
577,strategic,-1.1516338867603224,-2.045136973180064
578,late,6.4220013173960595,-3.1772181079789803
580,strategic,1.1520540391508192,-2.3248558388915157
581,strategic,-6.3693692377274544,-6.4110817113003975
582,regular,8.351859649122808,6.65508413891871
584,strategic,12.334263705482186,14.863430372148876
585,regular,3.769074716438837,2.891657788539142
587,strategic,-32.20777777777777,-27.558571428571426
588,late,24.313764593712904,27.34269293924467
590,regular,-2.719827132327133,-1.1624804075235247
591,late,-1.2296389506916015,-5.2539422563813005
596,strategic,11.852849201116733,19.89033948860701
599,strategic,-8.58211560988029,-3.844760667903522
600,regular,1.2913392857142654,4.922075216450217
603,strategic,9.358472786811198,11.654778617287839
604,regular,3.1929788557213925,-2.2800537634408684
606,strategic,2.8650298603833306,7.689918625678111
608,regular,19.5707021114523,21.736515151515135
611,strategic,1.0201709401709422,-0.8448489010988922
612,regular,2.9787391939994876,5.007153321923944
614,strategic,19.730009124475814,23.382714752181457
615,regular,-11.852114001338236,-11.483102239290758
618,regular,36.95591269841269,35.03613247863248
623,regular,-0.08208754208754954,-2.6072458172458255
624,regular,-8.231236518507046,-13.07266213582006
626,strategic,23.48327315710295,16.791113172541742
627,regular,-21.23869391025643,-22.53762951334381
628,late,3.8747058823529414,3.2566850490196018
632,strategic,3.290817307692315,3.388553849902536
633,regular,-6.421832579185519,0.9504127966976412
635,regular,4.713947990543744,6.747072468405044
638,strategic,-5.665040112783188,-4.1530978916389145
639,regular,-36.516503496503496,-37.24545454545454
640,strategic,7.040162815551696,8.571069152923542
643,regular,11.212142857142851,9.36470588235295
646,regular,-4.339562959686802,-5.910697780936587
654,strategic,-28.820230161772237,-25.36005320662874
661,strategic,12.856104579202999,14.745938228791893
662,regular,-22.681702009249456,-35.17807064686339
664,strategic,0.8862498923249262,-3.5641740117280065
665,strategic,15.010807017543861,11.86686762360447
666,regular,-7.368697775263961,-8.990563166157159
668,strategic,9.05495951417003,4.126083916083914
669,regular,6.213140515673317,14.09590302170946
671,strategic,3.2528030303030278,-1.6140318627450938
672,regular,17.994393006875754,8.684012820512834
675,strategic,28.06392492764997,26.385026893251933
678,regular,8.53885281385282,10.482961482961493
679,late,9.497995687108578,17.523248880748866
681,regular,-3.5566723949262595,-2.64883175484335
682,regular,16.907919254658367,18.342794773564293
684,strategic,-16.709176620480967,-24.603319417574614
686,regular,13.936642200739954,13.610552631578926
689,late,25.53165561773727,37.07003783102142
691,strategic,9.36610809171195,9.149757014840624
692,regular,18.158498915695333,25.570004906980728
694,strategic,1.559970090426738,5.897930164044048
696,regular,-28.38568511876212,-19.12333000095181
700,regular,-7.643687437437421,-5.666924616924604
703,regular,10.522889088104087,16.14183133865528
708,strategic,-10.460717468805711,-8.194823232323238
709,regular,-4.120745685351572,-5.940169372775273
710,regular,14.66045437405733,13.141688034188043
711,regular,7.744475365903931,0.5119209039547954
713,strategic,-7.262674441786267,-9.552807017543849
714,regular,12.29378131232064,15.492853548458122
715,regular,14.540978835978834,14.194008420441335
717,strategic,13.85998677248677,11.62262403042834
724,late,-16.764761904761905,-16.95041218637992
726,strategic,-9.79570707070706,5.934421134421157
727,regular,-4.984631341868166,-8.99802983394315
730,regular,5.91560176665439,10.267890442890433
731,late,-6.71023713128978,-8.600671550671564
733,regular,4.992471465563732,5.240614242484092
736,regular,2.9740767973856066,-5.029583333333342
739,strategic,-1.3876660121018887,0.21489726339000725
740,regular,4.3597126831501924,2.510285825285841
743,regular,-6.266944088775084,-15.005606060606048
746,strategic,3.649482480239051,-1.0321790550647236
754,regular,11.40469639956411,12.184458304326007
755,late,-1.0135616360365347,0.6473185948436964
757,strategic,-9.06966149792239,-7.5045510215442945
759,regular,17.38577926421408,5.893315496098133
760,regular,-3.9459009038419026,-0.1355159972322042
765,regular,-13.235818467485139,-15.835692213953088
767,regular,6.90258799171842,5.611031746031742
770,strategic,9.827284364381157,13.88507936507937
773,regular,18.9304963054963,21.830282217782205
776,regular,10.563682644110266,11.169725276680545
777,regular,25.64611524822695,27.23162292358804
779,late,-3.5849526404715135,-1.1159401909566
782,regular,3.6810558891988947,-1.0274833218311628
783,late,-15.154637437246151,-15.15333628758868
784,strategic,6.759688109161793,4.338821548821542
785,regular,-7.772028542214848,-8.536803195558946
788,strategic,-3.3429328712223594,-4.834270590520596
790,regular,-12.71113237639554,-21.1562561094819
793,strategic,12.264761708811747,11.063672493216373
794,regular,13.206189154550586,15.419458089668609
797,strategic,0.318373389063062,0.8997411204307966
798,regular,14.498092966082929,10.446768862094835
801,strategic,4.648083778966132,-0.09804176215938298
802,regular,15.49611034798533,17.895833333333336
803,regular,-18.02206000643501,-16.326702863577864
807,regular,-2.644471153846162,-2.644471153846162
817,strategic,8.334588815789495,3.8057164951930247
818,regular,7.343069479748586,6.659462548806857
819,strategic,-14.851850616034845,-12.513668797853029
821,regular,4.960362902536211,5.437872634558445
824,regular,-24.400929967470773,-23.528778068736628
827,strategic,-28.690369168356995,-28.155489832007085
828,strategic,31.1139239766082,36.25765413533835
829,late,20.781363676929914,24.251031953902533
831,strategic,11.276715741521905,9.676206054247658
835,regular,23.121623115256845,21.19714972527473
837,strategic,17.415239448051928,9.489139292080445
841,strategic,-6.698667198400187,-1.9942900940230643
847,regular,-10.53264527629235,-9.177309593632188
851,late,1.8024474029824873,4.61802912572319
852,strategic,-2.5417661649885943,-2.686993437715863
853,regular,-5.885990712074303,-9.030241935483865
855,regular,-32.601416364362784,-33.82778716216217
858,strategic,-14.429759410760255,-15.923687293099064
862,strategic,12.778489010988991,10.612642857142852
866,regular,32.86645544857618,35.396780692425835
869,regular,6.484799094510478,16.16765395894427
872,strategic,-16.650400134348416,-15.105150105708255
875,strategic,4.555370370370355,9.474756335282628
883,regular,43.452501485442646,47.04114369501464
884,regular,17.191123882503184,13.714413507531937
886,strategic,-4.905426348723125,-1.679074255434898
890,strategic,-11.63566573008248,-14.024379493099637
892,strategic,27.847108691575386,25.206683430561895
893,regular,0.4930057065712248,-1.4495177673416322
895,strategic,-15.859523447566943,-8.753332151719256
897,late,21.040437237181422,25.753992300004775
898,regular,-12.864080409151839,-16.534596051494333
901,strategic,19.592290907508286,16.8979369261978
904,strategic,1.4322360523156732,0.16599225055877298
906,strategic,3.198856712690201,6.241884416195859
907,strategic,23.835294117647067,23.97738655462185
908,regular,30.08888196141207,28.354726107226092
912,regular,-7.3977839831261605,-2.3273230714887916
913,regular,8.420138888888879,-4.432815734989667
915,regular,-6.095235853286681,-6.785070014595874
916,late,19.35881830450252,14.513929989550682
918,regular,1.7711894694452823,-0.683177998472118
921,regular,-3.5081068187710542,-2.3629097744360905
923,strategic,-16.239555702917777,-16.144404363029608
926,strategic,-18.544741517862086,-17.33959031653648
928,late,3.1684496405849885,0.9825558635892904
929,regular,5.2128742365178695,6.238914952558588
934,strategic,-10.883799482121567,-7.902247727905639
937,strategic,36.12492929011916,37.73433018552005
938,regular,8.215028683574879,5.759426062091521
939,regular,9.611039263616213,8.738719361296333
942,regular,8.514637268847792,3.492106611099757
944,strategic,-1.17647198007473,1.2361192924722246
945,regular,-15.433131313131348,-15.82757575757578
946,regular,-12.005058661145611,-14.5471086303695
949,strategic,23.897544321816113,24.787509846043683
952,regular,-26.04052443035001,-20.702356902356904
954,strategic,-30.993076681635998,-36.38968710089399
957,strategic,7.691520358143244,7.7436318513948805
960,strategic,-32.14104189127179,-39.446235970819316
962,strategic,-7.116499999999988,-7.496962742175853
964,late,13.58437296037296,13.692143382854056
968,strategic,11.580877836939685,18.36199563142589
970,strategic,20.298734168363566,26.64431935817803
972,regular,-4.533079710144925,-5.449209770114955
975,strategic,10.568916281458662,14.848380952380936
976,regular,-15.291865459102304,-17.89715091110441
977,late,9.927754092326985,10.946237138885685
978,regular,17.425400641025625,18.74411764705882
983,regular,19.393684729064027,19.429749999999977
988,strategic,-11.62355603414644,-11.322442645074226
989,regular,15.7489251611591,7.898079152177523
991,strategic,-17.926403194506634,-14.565123432601865
992,late,1.3179790356393895,-5.266512192430774
994,strategic,21.386273241127995,22.001387947599646
996,strategic,-4.082081014223881,-0.10814393939394051
998,late,-1.7239141414141343,0.2807739463601493
999,strategic,7.18923696046712,11.557450140475986
1003,strategic,12.38558886357552,14.175426090226857
1004,regular,-23.837177489177478,-25.431792501284022
1007,late,1.4899637308504126,1.531043956043952
1010,strategic,45.3271216587392,49.6314049955397
1013,strategic,5.5912932989835085,8.053774928774907
1014,late,41.238578088578116,40.63822455322458
1017,regular,18.253102404841542,18.337512274959103
1022,strategic,-0.194470140589722,-1.9277743218324233
1023,strategic,-1.9756111970903518,0.8192612942612953
1024,regular,18.68850880302493,18.559865587167245
1025,late,13.39239421828291,5.355669072084062
1028,regular,8.063462332301356,3.033577336641855
1031,regular,-2.6530420547258515,-1.9031737867156266
1032,late,-8.862787618083686,-6.853998015872982
1033,strategic,-4.126520859127332,-4.534122740005067
1034,regular,17.314196428571414,22.989810167310154
1038,strategic,15.309035118628167,3.5996700392630885
1041,strategic,-17.079681173495892,-15.162837848455858
1042,strategic,3.2917340067340106,3.3509060846560885
1045,strategic,33.372544877383596,33.097099906151634
1048,strategic,-8.873428571428569,-11.523299677765834
1051,strategic,-17.771660739687036,0.5750268125268221
1052,strategic,8.61756513926327,2.967803234501339
1057,strategic,22.05616146152277,27.19085677749362
1061,regular,-16.600374396135265,-15.130466988727854
1062,regular,-10.118170426065163,6.8187343358395935
1064,strategic,-15.179543067226895,-17.490168067226897
1066,strategic,2.2130015744489526,3.5281386445096317
1067,regular,13.017653294194389,17.67605849838133
1072,strategic,-10.140714285714289,-14.782520927348521
1073,regular,4.199680975762924,1.6680465296347435
1075,strategic,-6.571044637455728,-8.137157033831265
1076,regular,-6.372670060564062,-11.70504168098082
1077,regular,3.7939004054531793,2.8544351326822124
1078,strategic,-3.929227053140089,-6.21834886128363
1080,regular,3.6756639304683745,3.340013495276665
1082,regular,12.728859649122803,8.117669172932317
1083,regular,5.625085440874884,0.6651564809459387
1084,late,-15.57312291312293,-13.45525855525856
1085,strategic,-9.396284433540828,-10.879009214557819
1086,regular,6.574272349272334,12.934230769230751
1091,regular,-17.140521567353595,-20.057540267951246
1093,regular,10.8931746031746,11.389645191409898
1095,strategic,16.83063404849117,16.577193877551018
1096,strategic,4.7145553239272004,-6.631388125916509
1098,regular,-0.05972266849458663,3.080374710407348
1101,regular,18.016995070842547,20.36413763786699
1102,late,-0.5016381068951361,-2.036794871794868
1103,regular,0.8144871794871946,-1.5664975845410396
1106,regular,-17.032115384615395,-8.783750000000012
1110,regular,-3.8327173765868636,-2.262547308559661
1112,regular,8.86410256410258,3.8398907103825053
1115,late,19.97780045489867,21.275916510063915
1117,strategic,-28.283637535354977,-35.42477864293661
1118,regular,18.319444444444436,29.281666666666652
1119,regular,17.95666986326659,9.39918194056127
1121,regular,-2.1704329004328997,-3.028311688311696
1122,regular,-40.42469113134873,-41.903992779544254
1123,strategic,23.390086668650504,23.650527105406738
